# Branching ratios for Cl -> ,(1) CL++E
# lambda ,br_ratio_1
0.0,1.0
2.0,1.0
4.0,1.0
6.0,1.0
8.0,1.0
10.0,1.0
12.0,1.0
14.0,1.0
16.0,1.0
18.0,1.0
20.0,1.0
22.0,1.0
24.0,1.0
26.0,1.0
28.0,1.0
30.0,1.0
30.380000000000003,1.0
32.0,1.0
34.0,1.0
36.0,1.0
36.81,1.0
38.0,1.0
40.0,1.0
42.0,1.0
44.0,1.0
46.0,1.0
48.0,1.0
49.93,1.0
50.0,1.0
52.0,1.0
54.0,1.0
55.45,1.0
56.0,1.0
58.0,1.0
58.470000000000006,1.0
60.0,1.0
60.94,1.0
62.0,1.0
62.529999999999994,1.0
62.970000000000006,1.0
64.0,1.0
66.0,1.0
68.0,1.0
70.0,1.0
72.0,1.0
74.0,1.0
76.0,1.0
76.46000000000001,1.0
77.03999999999999,1.0
78.0,1.0
79.02000000000001,1.0
80.0,1.0
82.0,1.0
83.42,1.0
84.0,1.0
86.0,1.0
88.0,1.0
90.0,1.0
92.0,1.0
92.31,1.0
93.34,1.0
93.78,1.0
94.0,1.0
94.97,1.0
96.0,1.0
