# Branching ratios for H2O -> ,(1) H+OH,(2) H2+O(1D),(3) 2H+O
# lambda ,br_ratio_1,br_ratio_2,br_ratio_3
62.529999999999994,1.0,0.0,0.0
62.970000000000006,1.0,0.0,0.0
64.0,1.0,0.0,0.0
66.0,1.0,0.0,0.0
68.0,1.0,0.0,0.0
70.0,1.0,0.0,0.0
72.0,1.0,0.0,0.0
74.0,1.0,0.0,0.0
76.0,1.0,0.0,0.0
76.46000000000001,1.0,0.0,0.0
77.03999999999999,1.0,0.0,0.0
78.0,1.0,0.0,0.0
79.02000000000001,1.0,0.0,0.0
80.0,1.0,0.0,0.0
82.0,0.782608695652174,0.10869565217391304,0.10869565217391304
83.42,0.7894736842105263,0.10526315789473685,0.10526315789473685
84.0,0.7999940686259972,0.1000029656870014,0.1000029656870014
86.0,0.8076844679983695,0.09615776600081533,0.09615776600081533
88.0,0.7999999999999998,0.09999999999999998,0.09999999999999998
90.0,0.786876096316377,0.09838941157710093,0.11473449210652209
92.0,0.7800293092121885,0.1000050533124463,0.11996563747536508
92.31,0.7924878955347973,0.09434146818604194,0.11317063627916076
93.34,0.7868416940146898,0.09837474605407096,0.11478355993123926
93.78,0.7678617267048857,0.10712757765038075,0.12501069564473344
94.0,0.7842909653704779,0.09808473592571096,0.11762429870381118
94.97,0.7777312683131017,0.09526998744244454,0.12699874424445376
96.0,0.7794476355338736,0.10291919112440004,0.11763317334172634
97.25,0.7826086956521738,0.10144927536231883,0.11594202898550725
97.7,0.7796610169491526,0.1016949152542373,0.11864406779661017
98.0,0.7796327598582906,0.10169727001180912,0.1186699701299002
99.1,0.78,0.1,0.12
100.0,0.7799829642248721,0.1,0.12001703577512776
102.0,0.7799785867237687,0.1,0.12002141327623127
102.57000000000001,0.7799792991276061,0.1000049287791414,0.1200157720932525
103.5,0.7799822162943204,0.10000555740802491,0.12001222629765478
106.0,0.7800156025095868,0.09999890123171926,0.11998549625869401
111.0,0.78,0.10000000000000002,0.12000000000000001
115.5,0.780000934972652,0.09999532513673975,0.1200037398906082
119.0,0.7800169673298865,0.0999951979255038,0.11998783474460967
121.0,0.7800359712230216,0.1,0.11996402877697843
121.57000000000001,0.7799723235627123,0.10001258019876715,0.12001509623852058
125.0,0.779963561725975,0.099997693780125,0.12003874449390006
130.0,0.8999971662557738,0.10000283374422626,0.0
135.0,0.9000061120958377,0.09999388790416233,0.0
140.0,0.8999912960222821,0.10000870397771781,0.0
145.0,1.0,0.0,0.0
150.0,1.0,0.0,0.0
155.0,1.0,0.0,0.0
160.0,1.0,0.0,0.0
165.0,1.0,0.0,0.0
170.0,1.0,0.0,0.0
175.0,1.0,0.0,0.0
180.0,1.0,0.0,0.0
185.0,1.0,0.0,0.0
190.0,1.0,0.0,0.0
195.0,1.0,0.0,0.0
