# Branching ratios for NO3 -> ,(1) NO2+O,(2) NO+O2
# lambda ,br_ratio_1,br_ratio_2
402.5,1.0,0.0
410.0,1.0,0.0
420.0,1.0,0.0
430.0,1.0,0.0
440.0,1.0,0.0
450.0,1.0,0.0
460.0,1.0,0.0
470.0,1.0,0.0
480.0,1.0,0.0
490.0,1.0,0.0
500.0,1.0,0.0
510.0,1.0,0.0
520.0,1.0,0.0
530.0,1.0,0.0
540.0,1.0,0.0
550.0,1.0,0.0
560.0,1.0,0.0
570.0,1.0,0.0
580.0,1.0,0.0
590.0,0.8218664244960812,0.1781335755039188
600.0,0.6055077452667814,0.3944922547332186
610.0,0.5038583300356153,0.49614166996438464
620.0,0.4117930979004103,0.5882069020995898
630.0,0.30195495112622184,0.6980450488737782
640.0,0.26788500111433033,0.7321149988856698
