# Branching ratios for O2 -> ,(1) 2O,(2) O+O(1D)
# lambda ,br_ratio_1,br_ratio_2
4.0,1.0,0.0
6.0,1.0,0.0
8.0,1.0,0.0
10.0,1.0,0.0
12.0,1.0,0.0
14.0,1.0,0.0
16.0,1.0,0.0
18.0,1.0,0.0
20.0,1.0,0.0
22.0,1.0,0.0
24.0,1.0,0.0
26.0,1.0,0.0
28.0,1.0,0.0
30.0,1.0,0.0
30.380000000000003,1.0,0.0
32.0,1.0,0.0
34.0,1.0,0.0
36.0,1.0,0.0
36.81,1.0,0.0
38.0,1.0,0.0
40.0,1.0,0.0
42.0,1.0,0.0
44.0,1.0,0.0
46.0,1.0,0.0
48.0,1.0,0.0
49.93,1.0,0.0
50.0,1.0,0.0
52.0,1.0,0.0
54.0,1.0,0.0
55.45,1.0,0.0
56.0,1.0,0.0
58.0,1.0,0.0
58.470000000000006,1.0,0.0
60.0,1.0,0.0
60.94,1.0,0.0
62.0,1.0,0.0
62.529999999999994,1.0,0.0
62.970000000000006,1.0,0.0
64.0,1.0,0.0
66.0,1.0,0.0
68.0,1.0,0.0
70.0,1.0,0.0
72.0,1.0,0.0
74.0,1.0,0.0
76.0,1.0,0.0
76.46000000000001,1.0,0.0
77.03999999999999,1.0,0.0
78.0,1.0,0.0
79.02000000000001,1.0,0.0
80.0,1.0,0.0
82.0,1.0,0.0
83.42,1.0,0.0
84.0,1.0,0.0
86.0,1.0,0.0
88.0,1.0,0.0
90.0,1.0,0.0
92.0,1.0,0.0
92.31,1.0,0.0
93.34,1.0,0.0
93.78,1.0,0.0
94.0,1.0,0.0
94.97,1.0,0.0
96.0,1.0,0.0
97.25,1.0,0.0
97.7,1.0,0.0
98.0,1.0,0.0
99.1,1.0,0.0
100.0,1.0,0.0
102.0,1.0,0.0
102.57000000000001,1.0,0.0
103.5,1.0,0.0
106.0,1.0,0.0
111.0,1.0,0.0
115.5,1.0,0.0
119.0,0.2994987468671679,0.7005012531328321
121.0,0.24131335671023274,0.7586866432897673
121.57000000000001,0.5599810785241249,0.4400189214758752
125.0,0.338629755518244,0.661370244481756
130.0,0.5306935332708529,0.46930646672914716
135.0,0.6445438282647584,0.35545617173524147
140.0,0.1040216001136848,0.8959783998863151
145.0,0.0007633444367360032,0.999236655563264
150.0,0.019884946629867326,0.9801150533701327
155.0,0.010273263575723971,0.989726736424276
160.0,0.0183285273002644,0.9816714726997356
165.0,0.00041213349870455814,0.9995878665012954
170.0,0.04159850432344006,0.95840149567656
175.0,0.14549738605404608,0.8545026139459538
180.0,1.0,0.0
185.0,1.0,0.0
190.0,1.0,0.0
195.0,1.0,0.0
200.0,1.0,0.0
205.0,1.0,0.0
210.0,1.0,0.0
215.0,1.0,0.0
220.0,1.0,0.0
225.0,1.0,0.0
230.0,1.0,0.0
235.0,1.0,0.0
240.0,1.0,0.0
245.0,1.0,0.0
250.0,1.0,0.0
