# Branching ratios for S2Cl2 -> ,(1) 2SCL+M,(2) S2+2CL+M
# lambda ,br_ratio_1,br_ratio_2
111.0,0.0,1.0
115.5,0.0,1.0
119.0,0.0,1.0
121.0,0.0,1.0
121.57000000000001,0.0,1.0
125.0,0.0,1.0
130.0,0.0,1.0
135.0,0.0,1.0
140.0,0.0,1.0
145.0,0.0,1.0
150.0,0.0,1.0
155.0,0.0,1.0
160.0,0.0,1.0
165.0,0.0,1.0
170.0,0.0,1.0
175.0,0.0,1.0
180.0,0.2500209187515689,0.7499790812484312
185.0,0.5,0.5
190.0,0.5,0.5
195.0,0.5,0.5
200.0,0.5,0.5
205.0,0.5,0.5
210.0,0.5,0.5
215.0,0.5,0.5
220.0,0.5,0.5
225.0,0.5,0.5
230.0,0.32428555665894293,0.675714443341057
235.0,0.11765419812122241,0.8823458018787775
240.0,0.11765348481538125,0.8823465151846188
245.0,0.11762850835698518,0.8823714916430148
250.0,0.11765753571046914,0.8823424642895308
255.0,0.11764705882352941,0.8823529411764706
257.5,0.11764705882352941,0.8823529411764707
262.5,0.11765761240087554,0.8823423875991245
267.5,0.1176470588235294,0.8823529411764706
272.5,0.11763879523488423,0.8823612047651157
277.5,0.11765408790000716,0.8823459120999928
282.5,1.0,0.0
287.5,1.0,0.0
292.5,1.0,0.0
297.5,1.0,0.0
302.5,1.0,0.0
307.5,1.0,0.0
312.5,1.0,0.0
317.5,1.0,0.0
322.5,1.0,0.0
327.5,1.0,0.0
332.5,1.0,0.0
337.5,1.0,0.0
342.5,1.0,0.0
347.5,1.0,0.0
352.5,1.0,0.0
357.5,1.0,0.0
362.5,1.0,0.0
367.5,1.0,0.0
372.5,1.0,0.0
377.5,1.0,0.0
382.5,1.0,0.0
387.5,1.0,0.0
